,user_id,card_num,gender,first_name,last_name,email,job,card_type,address,branch,phone,birthdate,country,balance_usd
0,76fc35df-262f-4951-994b-6fa82a80741d,7073208413,M,Prabu,Ardianto,,"Surveyor, rural practice",MasterCard,"Jl. Kapten Muslihat No. 193
Medan, BA 77911",Kota Administrasi Jakarta Utara,+62-831-872-3355,2001-07-05,ID,76709.68
1,b656b6c2-fab3-4ffe-a55f-bd92aa1857c1,8487887201,M,Nasab,Natsir,Nasab90@hotmail.com,Community arts worker,AMEX,"Gg. Rajawali Timur No. 108
Banjarbaru, ST 30445",Dumai,+62-084-635-4659,1986-06-14,ID,53977.1
2,25499a00-df80-4c82-95e9-ab9bdcaa19a0,2781799564,M,Hardana,Prabowo,Prabowo21@yahoo.com,Media buyer,Visa,"Gg. Cempaka No. 1
Meulaboh, JK 66695",Tasikmalaya,+62 (002) 031 3232,1986-09-12,ID,36796.88
3,f9c65214-f9cf-4097-972b-6ef555d81951,9168616819,F,Citra,Palastri,Palastri62@gmail.com,"Administrator, Civil Service",AMEX,"Gang H.J Maemunah No. 141
Blitar, Kalimantan Utara 29481",Tangerang,+62 (81) 229-5152,1981-10-20,ID,8925.82
4,076efaae-286b-4bce-8315-beed1646371a,3259992496,M,Omar,Wacana,,"Education officer, environmental",Visa,"Jl. Sukabumi No. 55
Bima, Maluku Utara 16324",Solok,+62 (78) 439 6553,1996-01-01,ID,12416.64
5,ad24ef8b-5868-488b-a2fa-aceb1a744a24,6304293531,M,Aslijan,Maryadi,Maryadi12@hotmail.com,Trade mark attorney,MasterCard,"Gg. Veteran No. 64
Cirebon, JI 96605",Payakumbuh,(0734) 497 2058,1966-05-29,ID,76281.0
6,79f6e6ae-fbf4-4079-bb53-f8313ff97980,7382149471,M,Dadi,Sitorus,Dadi26@hotmail.com,"Embryologist, clinical",AMEX,"Gg. Raya Setiabudhi No. 54
Bontang, JI 77322",Surakarta,(0812) 574-6699,1981-09-15,ID,29433.61
7,fdc9446b-dd4a-45a0-becb-3115de8fa001,0594000922,F,Ida,Hastuti,Ida09@hotmail.com,Production engineer,MasterCard,"Jl. Raya Ujungberung No. 84
Kota Administrasi Jakarta Barat, Sumatera Barat 71634",Banjarmasin,+62 (96) 759 3146,1989-03-23,ID,84832.62
8,344594a7-0ced-4d70-a9e7-b039ba5c605a,8336712436,F,Iriana,Puspita,Puspita18@hotmail.com,Hydrographic surveyor,AMEX,"Gg. H.J Maemunah No. 003
Padangpanjang, KI 51658",Surakarta,+62-695-585-4872,1961-11-18,ID,36831.96
9,ff2d6fa8-2bb0-4e61-b34e-1817162794ba,5589214780,F,Julia,Wijayanti,Julia92@hotmail.com,"Lecturer, further education",AMEX,"Jl. BKR No. 5
Balikpapan, JK 50510",Bandung,+62-04-203-5522,1962-01-30,ID,90588.9
10,cff4dad3-f229-4b58-8a35-6a8f241e3c52,1721864957,M,Luis,Mandala,Mandala65@yahoo.com,"Sound technician, broadcasting/film/video",Visa,"Gg. Sukajadi No. 67
Langsa, GO 28662",Padang,(0966) 006 3644,1959-09-17,ID,4939.3
11,6098a442-8d4c-4ad0-881d-167803078214,2865108749,F,Maya,Rahmawati,Maya67@yahoo.com,Forensic scientist,Visa,"Jalan Abdul Muis No. 2
Kupang, DI Yogyakarta 54108",Pekalongan,+62 (031) 909 8574,2005-05-29,ID,30738.68
12,75bd0958-ae4a-410e-b913-2e513e08d73d,8845579937,M,Kunthara,Mansur,Mansur33@hotmail.com,Chartered loss adjuster,AMEX,"Jl. R.E Martadinata No. 366
Tangerang Selatan, Sumatera Selatan 86039",Langsa,+62 (020) 882 4699,1993-10-05,ID,69678.38
13,5eeea038-83ee-4339-acc0-30ddeddc8c14,8424499220,M,Muni,Zulkarnain,,"Engineer, broadcasting (operations)",MasterCard,"Gg. Stasiun Wonokromo No. 26
Samarinda, PB 63921",Batam,082 657 6063,1964-01-31,ID,98456.78
14,f82d6158-d596-417b-b6fd-27cce1df1557,1893726444,F,Maya,Novitasari,Novitasari48@yahoo.com,Chartered management accountant,Visa,"Jalan KH Amin Jasuta No. 29
Malang, JK 26009",Tanjungbalai,085 456 5382,1952-02-12,ID,77454.38
15,20a7a563-8fdd-4b99-8110-c6f75fc907d0,1170530225,M,Wira,Suwarno,Suwarno44@yahoo.com,"Restaurant manager, fast food",MasterCard,"Gg. Peta No. 99
Solok, Kalimantan Selatan 22521",Padangpanjang,+62-852-596-2999,1943-02-08,ID,67772.92
16,27d31735-c8af-4e4c-9845-09561972a1e9,9081340725,M,Oman,Manullang,Oman10@hotmail.com,Tour manager,MasterCard,"Jl. Indragiri No. 418
Tarakan, KU 46475",Cimahi,+62 (009) 550-3998,2004-12-10,ID,36227.52
17,03dc02bc-8083-485d-9407-e795902914b8,5585386210,M,Kawaca,Nainggolan,Kawaca76@yahoo.com,Trade union research officer,MasterCard,"Jl. Sukajadi No. 3
Kotamobagu, Sumatera Barat 81993",Solok,+62-015-272-6188,2003-02-24,ID,98010.4
18,5e800c79-d64d-410c-a48b-d383241e8740,6785730289,M,Bala,Winarno,Bala61@gmail.com,"Surveyor, insurance",MasterCard,"Gg. Sentot Alibasa No. 263
Samarinda, Nusa Tenggara Barat 62990",Pekanbaru,(047) 474-0857,1966-09-12,ID,50620.1
19,eef68c2e-891d-4c1b-9906-4bd39d8350a2,7544387427,F,Yani,Prastuti,Yani25@gmail.com,Legal executive,MasterCard,"Jalan Monginsidi No. 7
Pasuruan, Jawa Timur 85081",Ambon,+62 (036) 598-8820,1997-06-20,ID,15279.93
